filename,composer,type,tracks,ticks_per_beat,first_key_sig,predicted_key_sig,first_time_n,first_time_d,first_time_32nd,time_clocks_per_click,first_note,first_note_time,has_note_off,has_key_change,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
midi/classical/Ponce/Ponce_Prelude_No1.mid,Ponce,1,3,1024,F#m,A,4,4,8,24,F#,0,True,False,7.0,43.0,38.0,0.0,41.0,8.0,44.0,6.0,27.0,45.0,0.0,36.0
midi/classical/Ponce/Ponce_Prelude_No10.mid,Ponce,1,3,120,D,D,5,4,8,24,F#,0,False,False,0.0,7.0,31.0,1.0,16.0,2.0,36.0,17.0,2.0,15.0,6.0,22.0
midi/classical/Aguado/Aguado_12valses_Op1_No4.mid,Aguado,1,2,256,,G,3,8,8,36,G,0,True,False,51.0,7.0,65.0,7.0,21.0,1.0,33.0,79.0,10.0,82.0,10.0,51.0
midi/classical/Ponce/Ponce_Prelude_No11.mid,Ponce,1,3,120,Bb,A#,2,4,8,24,A#,0,False,False,16.0,3.0,25.0,21.0,7.0,27.0,1.0,17.0,0.0,19.0,21.0,1.0
midi/classical/Ponce/Ponce_Prelude_No12.mid,Ponce,1,3,120,A,A,4,4,8,24,G#,0,False,False,3.0,25.0,12.0,6.0,7.0,19.0,44.0,4.0,13.0,20.0,5.0,32.0
midi/classical/Aguado/Aguado_12valses_Op1_No5.mid,Aguado,1,2,256,,C,3,8,8,36,E,0,True,False,28.0,3.0,23.0,0.0,31.0,16.0,0.0,15.0,5.0,29.0,4.0,15.0
midi/classical/Ponce/Ponce_Prelude_No2.mid,Ponce,1,3,1024,A,A,3,8,8,36,E,0,True,False,4.0,43.0,38.0,0.0,32.0,6.0,16.0,2.0,8.0,33.0,0.0,28.0
midi/classical/Ponce/Ponce_Prelude_No3.mid,Ponce,1,3,1024,F#,F#,4,4,8,24,D#,0,True,False,0.0,25.0,1.0,24.0,5.0,8.0,19.0,1.0,21.0,3.0,23.0,16.0
midi/classical/Ponce/Ponce_Prelude_No4.mid,Ponce,1,3,1024,B,B,3,8,8,36,B,0,True,False,9.0,32.0,9.0,40.0,38.0,0.0,52.0,30.0,14.0,4.0,25.0,73.0
midi/classical/Aguado/Aguado_12valses_Op1_No7.mid,Aguado,1,2,256,D,D,4,4,8,24,A,0,True,False,26.0,32.0,98.0,3.0,35.0,0.0,64.0,66.0,6.0,65.0,3.0,63.0
midi/classical/Ponce/Ponce_Prelude_No5.mid,Ponce,1,3,1024,Bm,D,2,4,8,24,B,1.0714275,True,False,0.0,23.0,13.0,1.0,21.0,5.0,27.0,17.0,0.0,17.0,7.0,36.0
midi/classical/Aguado/Aguado_12valses_Op1_No8.mid,Aguado,1,2,256,C,C,4,4,8,24,C,0,True,False,110.0,5.0,42.0,0.0,66.0,62.0,3.0,107.0,2.0,56.0,41.0,48.0
midi/classical/Ponce/Ponce_Prelude_No6.mid,Ponce,1,3,1024,Dm,F,2,4,8,24,A,0,True,False,3.0,40.0,39.0,0.0,64.0,18.0,0.0,13.0,0.0,118.0,19.0,2.0
midi/classical/Dussek/Piano Sonata in D Opus.47 No.1.mid,Dussek,1,3,192,D,A,3,4,8,24,A,0,False,True,31.0,322.0,316.0,27.0,412.0,16.0,268.0,75.0,146.0,542.0,14.0,236.0
midi/classical/Aguado/Aguado_12valses_Op1_No9.mid,Aguado,1,2,256,G,G,4,4,8,24,B,0,True,False,54.0,4.0,35.0,14.0,91.0,9.0,21.0,68.0,18.0,65.0,9.0,86.0
midi/classical/Ponce/Ponce_Prelude_No7.mid,Ponce,1,3,120,C,C,3,4,8,24,C,0.24,False,False,30.0,2.0,28.0,3.0,38.0,33.0,3.0,28.0,13.0,26.0,3.0,22.0
midi/classical/Ponce/Ponce_Prelude_No8.mid,Ponce,1,3,120,G,G,9,8,8,12,G,0,False,False,27.0,5.0,18.0,7.0,15.0,5.0,13.0,26.0,7.0,36.0,5.0,20.0
midi/classical/Aguado/Aguado_Alegreto1.mid,Aguado,1,2,256,C,G,6,8,8,36,B,0,True,False,20.0,6.0,20.0,16.0,36.0,4.0,18.0,36.0,4.0,28.0,10.0,42.0
midi/classical/Ponce/Ponce_Prelude_No9.mid,Ponce,1,3,120,E,E,2,4,8,24,G#,0,False,False,0.0,30.0,0.0,31.0,41.0,0.0,31.0,0.0,35.0,11.0,4.0,63.0
midi/classical/Aguado/Aguado_Alegreto2.mid,Aguado,1,2,256,C,D,2,4,8,24,D,0,True,False,2.0,12.0,44.0,2.0,26.0,6.0,38.0,34.0,6.0,34.0,0.0,8.0
midi/classical/Ponce/Ponce_Preludio_No1.mid,Ponce,1,4,480,C,A,4,4,8,24,F#,0,True,False,5.0,42.0,35.0,0.0,36.0,7.0,43.0,5.0,25.0,44.0,0.0,30.0
midi/classical/Aguado/Aguado_Alegro2.mid,Aguado,1,2,256,C,A,2,4,8,24,E,0,True,False,0.0,55.0,47.0,21.0,93.0,0.0,37.0,1.0,47.0,78.0,0.0,53.0
midi/classical/Dvorak/21AD098.MID,Dvorak,1,3,240,,E,4,4,8,24,F#,0,True,False,533.0,1178.0,459.0,320.0,1554.0,278.0,633.0,293.0,700.0,1158.0,166.0,613.0
midi/classical/Ponce/Ponce_Scherzino_Maya.mid,Ponce,1,3,120,A,A,3,8,8,12,A,0.2857145,False,False,7.0,90.0,62.0,1.0,80.0,0.0,69.0,0.0,45.0,103.0,2.0,53.0
midi/classical/Aguado/Aguado_Allegro_Brillante.mid,Aguado,1,4,480,,E,2,4,79,18,E,0,True,False,10.0,60.0,11.0,65.0,153.0,5.0,122.0,31.0,125.0,94.0,19.0,179.0
midi/classical/Ponce/Ponce_Scherzino_mexicano.mid,Ponce,1,2,480,,D,6,8,161,7,D,1.0,True,False,13.0,31.0,57.0,5.0,58.0,4.0,63.0,31.0,5.0,49.0,9.0,46.0
midi/classical/Aguado/Aguado_Andante3.mid,Aguado,1,2,256,C,A,3,4,8,24,A,0,True,False,111.0,107.0,128.0,31.0,264.0,20.0,42.0,40.0,91.0,290.0,12.0,161.0
